gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,some college,standard,none,69,60,54
female,group C,associate's degree,standard,none,52,55,57
male,group C,some high school,standard,completed,67,73,68
male,group C,some high school,standard,completed,76,80,73
female,group E,associate's degree,standard,none,87,94,95
female,group B,some college,standard,none,82,85,87
female,group C,some college,standard,none,73,76,78
male,group A,some college,free/reduced,none,75,81,74
female,group D,some college,free/reduced,none,64,74,75
female,group E,high school,free/reduced,none,41,45,40
male,group C,high school,standard,none,90,75,69
male,group B,bachelor's degree,standard,none,59,54,51
male,group A,some high school,standard,none,51,31,36
male,group A,high school,free/reduced,none,45,47,49
female,group C,master's degree,standard,completed,54,64,67
male,group E,some high school,standard,completed,87,84,76
female,group C,high school,standard,none,72,80,83
male,group B,some high school,standard,completed,94,86,87
female,group A,bachelor's degree,standard,none,45,59,64
male,group D,bachelor's degree,free/reduced,completed,61,70,76
female,group B,high school,free/reduced,none,60,72,68
female,group C,some high school,standard,none,77,91,88
female,group A,some high school,standard,completed,85,90,92
female,group D,bachelor's degree,free/reduced,none,78,90,93
male,group E,some college,free/reduced,completed,49,52,51
female,group B,high school,free/reduced,none,71,87,82
female,group C,some high school,free/reduced,none,48,58,52
male,group C,high school,standard,none,62,67,58
female,group C,associate's degree,free/reduced,completed,56,68,70
female,group C,some high school,standard,none,65,69,76
female,group D,some high school,free/reduced,completed,69,86,81
male,group B,some high school,standard,none,68,54,53
female,group A,some college,free/reduced,none,61,60,57
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group A,bachelor's degree,standard,none,64,60,58
female,group B,high school,standard,completed,77,82,89
male,group B,some college,standard,none,58,50,45
female,group C,high school,standard,completed,60,64,74
male,group E,high school,standard,none,73,64,57
female,group A,high school,standard,completed,75,82,79
male,group B,associate's degree,free/reduced,completed,58,57,53
female,group C,associate's degree,standard,none,66,77,73
female,group D,high school,free/reduced,none,39,52,46
male,group C,some high school,standard,none,64,58,51
female,group B,high school,free/reduced,completed,23,44,36
male,group B,some college,free/reduced,completed,74,77,76
female,group D,some high school,free/reduced,completed,40,65,64
male,group E,master's degree,standard,none,90,85,84
male,group C,master's degree,standard,completed,91,85,85
male,group D,high school,standard,none,64,54,50
female,group C,high school,standard,none,59,72,68
male,group D,associate's degree,standard,none,80,75,69
male,group C,master's degree,standard,none,71,67,67
female,group A,high school,standard,none,61,68,63
female,group E,some college,standard,none,87,85,93
male,group E,some high school,standard,none,82,67,61
male,group C,some high school,standard,none,62,64,55
female,group B,bachelor's degree,standard,none,97,97,96
male,group B,some college,free/reduced,none,75,68,65
female,group C,bachelor's degree,standard,none,65,79,81
male,group B,high school,standard,completed,52,49,46
male,group C,associate's degree,free/reduced,none,87,73,72
female,group C,associate's degree,standard,none,53,62,53
female,group E,master's degree,free/reduced,none,81,86,87
male,group D,bachelor's degree,free/reduced,completed,39,42,38
female,group C,some college,standard,completed,71,71,80
male,group C,associate's degree,standard,none,97,93,91
male,group D,some college,standard,completed,82,82,88
male,group C,high school,free/reduced,none,59,53,52
male,group B,associate's degree,standard,none,61,42,41
male,group E,associate's degree,free/reduced,completed,78,74,72
male,group C,associate's degree,free/reduced,none,49,51,51
male,group B,high school,standard,none,59,58,47
female,group C,some college,standard,completed,70,72,76
male,group B,associate's degree,standard,completed,82,84,78
male,group E,associate's degree,free/reduced,none,90,90,82
female,group C,bachelor's degree,free/reduced,none,43,62,61
